sort_type,list_length,case,run_time,number_of_repeats,date_time
merge_sort,100000,sorted_case,0.0011279081350039633,1,2020-10-24 20:53:07.365526
merge_sort,100000,sorted_case,0.0011450631250045262,2,2020-10-24 20:53:07.365954
merge_sort,100000,sorted_case,0.0011360751400025038,3,2020-10-24 20:53:07.366183
merge_sort,100000,sorted_case,0.001139106244991126,4,2020-10-24 20:53:07.366537
merge_sort,100000,sorted_case,0.0011638514749938622,5,2020-10-24 20:53:07.366851
merge_sort,100000,sorted_case,0.0011226751200047148,6,2020-10-24 20:53:07.367150
merge_sort,100000,sorted_case,0.0011299059650082199,7,2020-10-24 20:53:07.367467
combined_sort,100000,sorted_case,0.0006396001800021622,1,2020-10-24 20:53:10.129496
combined_sort,100000,sorted_case,0.0006164839940029196,2,2020-10-24 20:53:10.129928
combined_sort,100000,sorted_case,0.00061601527199673,3,2020-10-24 20:53:10.130192
combined_sort,100000,sorted_case,0.000618010639998829,4,2020-10-24 20:53:10.130510
combined_sort,100000,sorted_case,0.0006177806299965595,5,2020-10-24 20:53:10.130806
combined_sort,100000,sorted_case,0.0006130404899959103,6,2020-10-24 20:53:10.131116
combined_sort,100000,sorted_case,0.00062224789600441,7,2020-10-24 20:53:10.131412
lamport_sort,100000,sorted_case,0.000966693178001151,1,2020-10-24 20:53:14.755400
lamport_sort,100000,sorted_case,0.0009433394700026838,2,2020-10-24 20:53:14.755854
lamport_sort,100000,sorted_case,0.0011071151079959237,3,2020-10-24 20:53:14.756099
lamport_sort,100000,sorted_case,0.0010062563180035795,4,2020-10-24 20:53:14.756392
lamport_sort,100000,sorted_case,0.0010325545600062469,5,2020-10-24 20:53:14.756706
lamport_sort,100000,sorted_case,0.0010871665739978198,6,2020-10-24 20:53:14.756993
lamport_sort,100000,sorted_case,0.0013705012979989988,7,2020-10-24 20:53:14.757281
quick_sort,100000,sorted_case,0.0005762663560017245,1,2020-10-24 20:53:17.398628
quick_sort,100000,sorted_case,0.000589341783997952,2,2020-10-24 20:53:17.399059
quick_sort,100000,sorted_case,0.000586520559998462,3,2020-10-24 20:53:17.399261
quick_sort,100000,sorted_case,0.0006149412739978288,4,2020-10-24 20:53:17.399504
quick_sort,100000,sorted_case,0.000602609620000294,5,2020-10-24 20:53:17.399772
quick_sort,100000,sorted_case,0.0006006766720020096,6,2020-10-24 20:53:17.400054
quick_sort,100000,sorted_case,0.0005950859779986785,7,2020-10-24 20:53:17.400332
numpy_sort,100000,sorted_case,8.131924240005901e-05,1,2020-10-24 20:53:21.082887
numpy_sort,100000,sorted_case,9.352659400028642e-05,2,2020-10-24 20:53:21.083355
numpy_sort,100000,sorted_case,9.547187280040817e-05,3,2020-10-24 20:53:21.083699
numpy_sort,100000,sorted_case,8.645589379957528e-05,4,2020-10-24 20:53:21.084002
numpy_sort,100000,sorted_case,7.827283139995416e-05,5,2020-10-24 20:53:21.084310
numpy_sort,100000,sorted_case,8.018150299976696e-05,6,2020-10-24 20:53:21.084616
numpy_sort,100000,sorted_case,8.335126399979344e-05,7,2020-10-24 20:53:21.084908
python_sort,100000,sorted_case,1.7512836400055675e-05,1,2020-10-24 20:53:22.948521
python_sort,100000,sorted_case,1.801600059989141e-05,2,2020-10-24 20:53:22.949226
python_sort,100000,sorted_case,2.7524800099854472e-05,3,2020-10-24 20:53:22.949583
python_sort,100000,sorted_case,2.1434706899890442e-05,4,2020-10-24 20:53:22.949905
python_sort,100000,sorted_case,2.003036380010599e-05,5,2020-10-24 20:53:22.950212
python_sort,100000,sorted_case,1.991550710008596e-05,6,2020-10-24 20:53:22.950579
python_sort,100000,sorted_case,2.0642685400162007e-05,7,2020-10-24 20:53:22.950881
insertion_sort,100000,sorted_case,0.0001214628649999213,1,2020-10-24 20:53:28.295972
insertion_sort,100000,sorted_case,0.00011148768839993863,2,2020-10-24 20:53:28.300917
insertion_sort,100000,sorted_case,0.00010755334820059944,3,2020-10-24 20:53:28.301287
insertion_sort,100000,sorted_case,0.00010642930040048668,4,2020-10-24 20:53:28.301602
insertion_sort,100000,sorted_case,0.00011823369719932089,5,2020-10-24 20:53:28.301878
insertion_sort,100000,sorted_case,0.0001294490296000731,6,2020-10-24 20:53:28.302159
insertion_sort,100000,sorted_case,0.00015813239439958125,7,2020-10-24 20:53:28.302458
bubble_sort,100000,sorted_case,0.003548796079994645,1,2020-10-24 20:53:30.089505
bubble_sort,100000,sorted_case,0.004555540380024468,2,2020-10-24 20:53:30.090091
bubble_sort,100000,sorted_case,0.004363832680028281,3,2020-10-24 20:53:30.090408
bubble_sort,100000,sorted_case,0.004147625439945841,4,2020-10-24 20:53:30.090742
bubble_sort,100000,sorted_case,0.003523391980052111,5,2020-10-24 20:53:30.091058
bubble_sort,100000,sorted_case,0.0037540734999492995,6,2020-10-24 20:53:30.091361
bubble_sort,100000,sorted_case,0.003472948019989417,7,2020-10-24 20:53:30.091704
merge_sort,200000,sorted_case,0.0021379990450077456,1,2020-10-24 20:53:33.019787
merge_sort,200000,sorted_case,0.0019254267900032573,2,2020-10-24 20:53:33.020287
merge_sort,200000,sorted_case,0.0013534949950008014,3,2020-10-24 20:53:33.020611
merge_sort,200000,sorted_case,0.0013130277299933369,4,2020-10-24 20:53:33.021110
merge_sort,200000,sorted_case,0.0016820065250067273,5,2020-10-24 20:53:33.021618
merge_sort,200000,sorted_case,0.001269414649996179,6,2020-10-24 20:53:33.022119
merge_sort,200000,sorted_case,0.0013589959700038888,7,2020-10-24 20:53:33.022659
combined_sort,200000,sorted_case,0.0009919238139991648,1,2020-10-24 20:53:37.398413
combined_sort,200000,sorted_case,0.0010110575740036438,2,2020-10-24 20:53:37.404993
combined_sort,200000,sorted_case,0.0011974823999989894,3,2020-10-24 20:53:37.405338
combined_sort,200000,sorted_case,0.0008595699939978658,4,2020-10-24 20:53:37.405703
combined_sort,200000,sorted_case,0.0009508849220001139,5,2020-10-24 20:53:37.405995
combined_sort,200000,sorted_case,0.0009481129740015604,6,2020-10-24 20:53:37.406292
combined_sort,200000,sorted_case,0.0011328661360021214,7,2020-10-24 20:53:37.406605
lamport_sort,200000,sorted_case,0.0017928582550121063,1,2020-10-24 20:53:40.032328
lamport_sort,200000,sorted_case,0.0016772659699927318,2,2020-10-24 20:53:40.032790
lamport_sort,200000,sorted_case,0.0016639492149988656,3,2020-10-24 20:53:40.033047
lamport_sort,200000,sorted_case,0.001255230639999354,4,2020-10-24 20:53:40.033336
lamport_sort,200000,sorted_case,0.0013476385549984116,5,2020-10-24 20:53:40.033663
lamport_sort,200000,sorted_case,0.0010929569749896474,6,2020-10-24 20:53:40.033947
lamport_sort,200000,sorted_case,0.0010199368100074935,7,2020-10-24 20:53:40.034239
quick_sort,200000,sorted_case,0.0007580060300097102,1,2020-10-24 20:53:41.286804
quick_sort,200000,sorted_case,0.0005847381300009147,2,2020-10-24 20:53:41.287239
quick_sort,200000,sorted_case,0.0006288047449925216,3,2020-10-24 20:53:41.287468
quick_sort,200000,sorted_case,0.0005732412399993336,4,2020-10-24 20:53:41.287694
quick_sort,200000,sorted_case,0.0005745850849962153,5,2020-10-24 20:53:41.287987
quick_sort,200000,sorted_case,0.0006223485999908007,6,2020-10-24 20:53:41.288281
quick_sort,200000,sorted_case,0.0006115284699990298,7,2020-10-24 20:53:41.288582
